Device,Test Name,Test Status,Message(s),Test description,Test category
AOC-DV-2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
AOC-DV-2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
AOC-DV-2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
AOC-DV-2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
AOC-DV-2,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
AOC-DV-2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
AOC-DV-2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
AOC-DV-2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
AOC-DV-2,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
AOC-DV-2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
AOC-DV-2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
AOC-DV-2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
AOC-DV-2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
AOC-DV-2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
AOC-DV-2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
AOC-DV-2,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
AOC-DV-2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
AOC-DV-2,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
AOC-DV-2,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Mar 19 19:17:13 a8a949eeb8e8 NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
AOC-DV-2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
AOC-DV-2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
AOC-DV-2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
AOC-DV-2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
AOC-DV-2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
AOC-DV-2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
AOC-DV-2,VerifyCoredump,success,,Verifies there are no core dump files.,System
AOC-DV-2,VerifyFileSystemUtilization,failure,Mount point: overlay          60G   47G   14G  78% / - Higher disk space utilization - Expected: 75% Actual: 78% - Mount point: /dev/sda2        60G   47G   14G  78% /mnt/flash - Higher disk space utilization - Expected: 75% Actual: 78%,Verifies that no partition is utilizing more than 75% of its disk space.,System
AOC-DV-2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
AOC-DV-2,VerifyMemoryUtilization,failure,Device has reported a high memory usage - Expected: < 75% Actual: 80.98%,Verifies whether the memory utilization is below 75%.,System
AOC-DV-2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
AOC-DV-2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
AOC-DV-2,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
